country,country_code_2_digit,country_code_3_digit,population,reported_date,hospital_occupancy_count,icu_occupancy_count,source
Denmark,DK,DNK,5806081,21/10/2020,122,16,Country_Website
Estonia,EE,EST,1324820,21/10/2020,32,3,Country_API
Finland,FI,FIN,5517919,21/10/2020,65,7,External_Github
France,FR,FRA,67012883,21/10/2020,13162,2239,Country_Website
Hungary,HU,HUN,9772756,21/10/2020,2023,201,JRC
Ireland,IE,IRL,4904240,21/10/2020,324,35,Country_Website
Italy,IT,ITA,60359546,21/10/2020,9983,926,Country_Github
Latvia,LV,LVA,1919968,21/10/2020,79,,Country_Website
Luxembourg,LU,LUX,613894,21/10/2020,69,8,Country_Website
Netherlands,NL,NLD,17282163,21/10/2020,,493,Other Website
Norway,NO,NOR,5328212,21/10/2020,36,,Country_API
Poland,PL,POL,37972812,21/10/2020,9439,,Country_Website
Portugal,PT,PRT,10276617,21/10/2020,1272,187,Country_Website
Romania,RO,ROU,19414458,21/10/2020,,766,Country_Website
Slovakia,SK,SVK,5450421,21/10/2020,844,,JRC
Slovenia,SI,SVN,2080908,21/10/2020,333,55,Country_Github
United Kingdom,UK,GBR,66647112,21/10/2020,7762,,Country_Website
Austria,AT,AUT,8858775,20/10/2020,889,145,Country_Website
Belgium,BE,BEL,11455519,20/10/2020,2969,486,Country_Website
Bulgaria,BG,BGR,7000039,20/10/2020,1562,88,External_Github
Croatia,HR,HRV,4076246,20/10/2020,574,,Country_Website
Czechia,CZ,CZE,10649800,20/10/2020,4417,657,Country_Website
Denmark,DK,DNK,5806081,20/10/2020,128,15,Country_Website
Estonia,EE,EST,1324820,20/10/2020,28,3,Country_API
France,FR,FRA,67012883,20/10/2020,12435,2168,Country_Website
Hungary,HU,HUN,9772756,20/10/2020,1960,197,JRC
Ireland,IE,IRL,4904240,20/10/2020,315,34,Country_Website
Italy,IT,ITA,60359546,20/10/2020,9324,870,Country_Github
Latvia,LV,LVA,1919968,20/10/2020,83,,Country_Website
Luxembourg,LU,LUX,613894,20/10/2020,68,8,Country_Website
Netherlands,NL,NLD,17282163,20/10/2020,,476,Other Website
Norway,NO,NOR,5328212,20/10/2020,29,,Country_API
Poland,PL,POL,37972812,20/10/2020,8962,,Country_Website
Portugal,PT,PRT,10276617,20/10/2020,1237,176,Country_Website
Romania,RO,ROU,19414458,20/10/2020,,768,Country_Website
Slovakia,SK,SVK,5450421,20/10/2020,724,,JRC
Slovenia,SI,SVN,2080908,20/10/2020,313,55,Country_Github
United Kingdom,UK,GBR,66647112,20/10/2020,7501,,Country_Website
Austria,AT,AUT,8858775,19/10/2020,799,145,Country_Website
Belgium,BE,BEL,11455519,19/10/2020,2773,446,Country_Website
Bulgaria,BG,BGR,7000039,19/10/2020,1500,74,External_Github
Croatia,HR,HRV,4076246,19/10/2020,571,,Country_Website
Czechia,CZ,CZE,10649800,19/10/2020,4064,634,Country_Website
Denmark,DK,DNK,5806081,19/10/2020,129,18,Country_Website
Estonia,EE,EST,1324820,19/10/2020,29,2,Country_API
Finland,FI,FIN,5517919,19/10/2020,62,7,External_Github
France,FR,FRA,67012883,19/10/2020,11640,2090,Country_Website
Hungary,HU,HUN,9772756,19/10/2020,1896,188,JRC
Ireland,IE,IRL,4904240,19/10/2020,298,32,Country_Website
Italy,IT,ITA,60359546,19/10/2020,8473,797,Country_Github
Latvia,LV,LVA,1919968,19/10/2020,80,,Country_Website
Luxembourg,LU,LUX,613894,19/10/2020,61,5,Country_Website
Netherlands,NL,NLD,17282163,19/10/2020,,448,Other Website
Norway,NO,NOR,5328212,19/10/2020,28,,Country_API
Poland,PL,POL,37972812,19/10/2020,8375,,Country_Website
Portugal,PT,PRT,10276617,19/10/2020,1174,165,Country_Website
Romania,RO,ROU,19414458,19/10/2020,,757,Country_Website
Slovakia,SK,SVK,5450421,19/10/2020,638,,JRC
Slovenia,SI,SVN,2080908,19/10/2020,291,56,Country_Github
United Kingdom,UK,GBR,66647112,19/10/2020,6991,,Country_Website
Austria,AT,AUT,8858775,18/10/2020,742,135,Country_Website
Belgium,BE,BEL,11455519,18/10/2020,2497,412,Country_Website
Bulgaria,BG,BGR,7000039,18/10/2020,1484,79,External_Github
Croatia,HR,HRV,4076246,18/10/2020,548,,Country_Website
Czechia,CZ,CZE,10649800,18/10/2020,3721,589,Country_Website
Denmark,DK,DNK,5806081,18/10/2020,119,17,Country_Website
Estonia,EE,EST,1324820,18/10/2020,35,3,Country_API
France,FR,FRA,67012883,18/10/2020,10897,1939,Country_Website
Hungary,HU,HUN,9772756,18/10/2020,1712,179,JRC
Ireland,IE,IRL,4904240,18/10/2020,274,31,Country_Website
Italy,IT,ITA,60359546,18/10/2020,7881,750,Country_Github
Latvia,LV,LVA,1919968,18/10/2020,72,,Country_Website
Luxembourg,LU,LUX,613894,18/10/2020,57,4,Country_Website
Netherlands,NL,NLD,17282163,18/10/2020,,409,Other Website
Poland,PL,POL,37972812,18/10/2020,8076,,Country_Website
Portugal,PT,PRT,10276617,18/10/2020,1086,155,Country_Website
Romania,RO,ROU,19414458,18/10/2020,,749,Country_Website
Slovakia,SK,SVK,5450421,18/10/2020,633,,JRC
Slovenia,SI,SVN,2080908,18/10/2020,265,49,Country_Github
United Kingdom,UK,GBR,66647112,18/10/2020,6516,,Country_Website
Austria,AT,AUT,8858775,17/10/2020,724,130,Country_Website
Belgium,BE,BEL,11455519,17/10/2020,2267,384,Country_Website
Bulgaria,BG,BGR,7000039,17/10/2020,1450,76,External_Github
Croatia,HR,HRV,4076246,17/10/2020,530,,Country_Website
Czechia,CZ,CZE,10649800,17/10/2020,3519,587,Country_Website
Denmark,DK,DNK,5806081,17/10/2020,110,16,Country_Website
Estonia,EE,EST,1324820,17/10/2020,32,3,Country_API
France,FR,FRA,67012883,17/10/2020,10399,1868,Country_Website
Hungary,HU,HUN,9772756,17/10/2020,1693,185,JRC
Ireland,IE,IRL,4904240,17/10/2020,260,30,Country_Website
Italy,IT,ITA,60359546,17/10/2020,7322,705,Country_Github
Latvia,LV,LVA,1919968,17/10/2020,69,,Country_Website
Luxembourg,LU,LUX,613894,17/10/2020,53,4,Country_Website
Netherlands,NL,NLD,17282163,17/10/2020,,389,Other Website
Poland,PL,POL,37972812,17/10/2020,1612,,Country_Website
Portugal,PT,PRT,10276617,17/10/2020,1012,148,Country_Website
Romania,RO,ROU,19414458,17/10/2020,,745,Country_Website
Slovakia,SK,SVK,5450421,17/10/2020,614,,JRC
Slovenia,SI,SVN,2080908,17/10/2020,250,44,Country_Github
United Kingdom,UK,GBR,66647112,17/10/2020,6251,,Country_Website
Austria,AT,AUT,8858775,16/10/2020,706,122,Country_Website
Belgium,BE,BEL,11455519,16/10/2020,2099,358,Country_Website
Bulgaria,BG,BGR,7000039,16/10/2020,1426,74,External_Github
Croatia,HR,HRV,4076246,16/10/2020,505,,Country_Website
Czechia,CZ,CZE,10649800,16/10/2020,3415,596,Country_Website
Denmark,DK,DNK,5806081,16/10/2020,110,16,Country_Website
Estonia,EE,EST,1324820,16/10/2020,32,3,Country_API
Finland,FI,FIN,5517919,16/10/2020,56,6,External_Github
France,FR,FRA,67012883,16/10/2020,10021,1791,Country_Website
Hungary,HU,HUN,9772756,16/10/2020,1642,171,JRC
Ireland,IE,IRL,4904240,16/10/2020,244,30,Country_Website
Italy,IT,ITA,60359546,16/10/2020,6816,638,Country_Github
Latvia,LV,LVA,1919968,16/10/2020,63,,Country_Website
Luxembourg,LU,LUX,613894,16/10/2020,49,4,Country_Website
Netherlands,NL,NLD,17282163,16/10/2020,,394,Other Website
Norway,NO,NOR,5328212,16/10/2020,28,,Country_API
Poland,PL,POL,37972812,16/10/2020,6980,,Country_Website
Portugal,PT,PRT,10276617,16/10/2020,1015,144,Country_Website
Romania,RO,ROU,19414458,16/10/2020,,726,Country_Website
Slovakia,SK,SVK,5450421,16/10/2020,540,,JRC
Slovenia,SI,SVN,2080908,16/10/2020,240,43,Country_Github
United Kingdom,UK,GBR,66647112,16/10/2020,6017,,Country_Website
Austria,AT,AUT,8858775,15/10/2020,664,119,Country_Website
Belgium,BE,BEL,11455519,15/10/2020,1951,327,Country_Website
Bulgaria,BG,BGR,7000039,15/10/2020,1380,67,External_Github
Croatia,HR,HRV,4076246,15/10/2020,439,,Country_Website
Czechia,CZ,CZE,10649800,15/10/2020,3120,551,Country_Website
Denmark,DK,DNK,5806081,15/10/2020,104,17,Country_Website
Estonia,EE,EST,1324820,15/10/2020,36,3,Country_API
France,FR,FRA,67012883,15/10/2020,9584,1741,Country_Website
Hungary,HU,HUN,9772756,15/10/2020,1555,167,JRC
Ireland,IE,IRL,4904240,15/10/2020,238,29,Country_Website
Italy,IT,ITA,60359546,15/10/2020,6382,586,Country_Github
Latvia,LV,LVA,1919968,15/10/2020,70,,Country_Website
Luxembourg,LU,LUX,613894,15/10/2020,41,4,Country_Website
Netherlands,NL,NLD,17282163,15/10/2020,,358,Other Website
Norway,NO,NOR,5328212,15/10/2020,24,,Country_API
Poland,PL,POL,37972812,15/10/2020,6538,,Country_Website
Portugal,PT,PRT,10276617,15/10/2020,993,139,Country_Website
Romania,RO,ROU,19414458,15/10/2020,,721,Country_Website
Slovakia,SK,SVK,5450421,15/10/2020,476,,JRC
Slovenia,SI,SVN,2080908,15/10/2020,222,40,Country_Github
United Kingdom,UK,GBR,66647112,15/10/2020,5673,,Country_Website
Belgium,BE,BEL,11455519,14/10/2020,1778,313,Country_Website
Bulgaria,BG,BGR,7000039,14/10/2020,1307,64,External_Github
Croatia,HR,HRV,4076246,14/10/2020,441,,Country_Website
Czechia,CZ,CZE,10649800,14/10/2020,2920,543,Country_Website
Denmark,DK,DNK,5806081,14/10/2020,104,17,Country_Website
Estonia,EE,EST,1324820,14/10/2020,35,3,Country_API
Finland,FI,FIN,5517919,14/10/2020,48,8,External_Github
France,FR,FRA,67012883,14/10/2020,9173,1664,Country_Website
Hungary,HU,HUN,9772756,14/10/2020,1538,156,JRC
Ireland,IE,IRL,4904240,14/10/2020,234,30,Country_Website
Italy,IT,ITA,60359546,14/10/2020,6009,539,Country_Github
Latvia,LV,LVA,1919968,14/10/2020,75,,Country_Website
Luxembourg,LU,LUX,613894,14/10/2020,44,4,Country_Website
Netherlands,NL,NLD,17282163,14/10/2020,,340,Other Website
Norway,NO,NOR,5328212,14/10/2020,23,,Country_API
Poland,PL,POL,37972812,14/10/2020,6084,,Country_Website
Portugal,PT,PRT,10276617,14/10/2020,957,135,Country_Website
Romania,RO,ROU,19414458,14/10/2020,,686,Country_Website
Slovakia,SK,SVK,5450421,14/10/2020,397,,JRC
Slovenia,SI,SVN,2080908,14/10/2020,210,35,Country_Github
United Kingdom,UK,GBR,66647112,14/10/2020,5376,,Country_Website
Belgium,BE,BEL,11455519,13/10/2020,1621,281,Country_Website
Bulgaria,BG,BGR,7000039,13/10/2020,1221,65,External_Github
Croatia,HR,HRV,4076246,13/10/2020,424,,Country_Website
Czechia,CZ,CZE,10649800,13/10/2020,2678,518,Country_Website
Denmark,DK,DNK,5806081,13/10/2020,103,19,Country_Website
Estonia,EE,EST,1324820,13/10/2020,34,3,Country_API
France,FR,FRA,67012883,13/10/2020,8928,1633,Country_Website
Hungary,HU,HUN,9772756,13/10/2020,1519,160,JRC
Ireland,IE,IRL,4904240,13/10/2020,240,31,Country_Website
Italy,IT,ITA,60359546,13/10/2020,5590,514,Country_Github
Latvia,LV,LVA,1919968,13/10/2020,70,,Country_Website
Luxembourg,LU,LUX,613894,13/10/2020,46,3,Country_Website
Netherlands,NL,NLD,17282163,13/10/2020,,321,Other Website
Norway,NO,NOR,5328212,13/10/2020,27,,Country_API
Poland,PL,POL,37972812,13/10/2020,5669,,Country_Website
Portugal,PT,PRT,10276617,13/10/2020,916,132,Country_Website
Romania,RO,ROU,19414458,13/10/2020,,651,Country_Website
Slovakia,SK,SVK,5450421,13/10/2020,397,,JRC
Slovenia,SI,SVN,2080908,13/10/2020,180,31,Country_Github
United Kingdom,UK,GBR,66647112,13/10/2020,5030,,Country_Website
Belgium,BE,BEL,11455519,12/10/2020,1473,268,Country_Website
Bulgaria,BG,BGR,7000039,12/10/2020,1205,62,External_Github
Croatia,HR,HRV,4076246,12/10/2020,404,,Country_Website
Czechia,CZ,CZE,10649800,12/10/2020,2503,467,Country_Website
Denmark,DK,DNK,5806081,12/10/2020,107,19,Country_Website
Estonia,EE,EST,1324820,12/10/2020,32,5,Country_API
Finland,FI,FIN,5517919,12/10/2020,46,10,External_Github
France,FR,FRA,67012883,12/10/2020,8671,1539,Country_Website
Hungary,HU,HUN,9772756,12/10/2020,1418,154,JRC
Ireland,IE,IRL,4904240,12/10/2020,221,32,Country_Website
