country,country_code_2_digit,country_code_3_digit,population,reported_date,hospital_occupancy_count,icu_occupancy_count,source
Ireland,IE,IRL,4904240,15/09/2020,68,13,Country_Website
Italy,IT,ITA,60359546,15/09/2020,2423,201,Country_Github
Latvia,LV,LVA,1919968,15/09/2020,10,,Country_Website
Luxembourg,LU,LUX,613894,15/09/2020,22,0,Country_Website
Netherlands,NL,NLD,17282163,15/09/2020,,71,Other Website
Norway,NO,NOR,5328212,15/09/2020,18,,Country_API
Poland,PL,POL,37972812,15/09/2020,1996,,Country_Website
Portugal,PT,PRT,10276617,15/09/2020,478,59,Country_Website
Romania,RO,ROU,19414458,15/09/2020,,460,Country_Website
Slovakia,SK,SVK,5450421,15/09/2020,141,,JRC
Slovenia,SI,SVN,2080908,15/09/2020,50,10,Country_Github
United Kingdom,UK,GBR,66647112,15/09/2020,1027,,Country_Website
Austria,AT,AUT,8858775,14/09/2020,255,47,Country_Website
Belgium,BE,BEL,11455519,14/09/2020,318,72,Country_Website
Bulgaria,BG,BGR,7000039,14/09/2020,740,53,External_Github
Croatia,HR,HRV,4076246,14/09/2020,310,,Country_Website
Czechia,CZ,CZE,10649800,14/09/2020,333,78,Country_Website
Denmark,DK,DNK,5806081,14/09/2020,50,4,Country_Website
Estonia,EE,EST,1324820,14/09/2020,19,1,Country_API
Finland,FI,FIN,5517919,14/09/2020,10,3,External_Github
France,FR,FRA,67012883,14/09/2020,5479,705,Country_Website
Hungary,HU,HUN,9772756,14/09/2020,287,16,JRC
Ireland,IE,IRL,4904240,14/09/2020,60,11,Country_Website
Italy,IT,ITA,60359546,14/09/2020,2319,197,Country_Github
Latvia,LV,LVA,1919968,14/09/2020,11,,Country_Website
Luxembourg,LU,LUX,613894,14/09/2020,19,0,Country_Website
Netherlands,NL,NLD,17282163,14/09/2020,,70,Other Website
Norway,NO,NOR,5328212,14/09/2020,21,,Country_API
Poland,PL,POL,37972812,14/09/2020,1972,,Country_Website
Portugal,PT,PRT,10276617,14/09/2020,477,61,Country_Website
Romania,RO,ROU,19414458,14/09/2020,,456,Country_Website
Slovakia,SK,SVK,5450421,14/09/2020,129,,JRC
Slovenia,SI,SVN,2080908,14/09/2020,42,9,Country_Github
United Kingdom,UK,GBR,66647112,14/09/2020,937,,Country_Website
Austria,AT,AUT,8858775,13/09/2020,226,44,Country_Website
Belgium,BE,BEL,11455519,13/09/2020,293,71,Country_Website
Bulgaria,BG,BGR,7000039,13/09/2020,736,53,External_Github
Croatia,HR,HRV,4076246,13/09/2020,309,,Country_Website
Czechia,CZ,CZE,10649800,13/09/2020,305,74,Country_Website
Denmark,DK,DNK,5806081,13/09/2020,47,4,Country_Website
Estonia,EE,EST,1324820,13/09/2020,16,2,Country_API
France,FR,FRA,67012883,13/09/2020,5228,662,Country_Website
Hungary,HU,HUN,9772756,13/09/2020,282,16,JRC
Ireland,IE,IRL,4904240,13/09/2020,54,10,Country_Website
Italy,IT,ITA,60359546,13/09/2020,2229,187,Country_Github
Latvia,LV,LVA,1919968,13/09/2020,10,,Country_Website
Luxembourg,LU,LUX,613894,13/09/2020,16,1,Country_Website
Netherlands,NL,NLD,17282163,13/09/2020,,60,Other Website
Poland,PL,POL,37972812,13/09/2020,1961,,Country_Website
Portugal,PT,PRT,10276617,13/09/2020,452,57,Country_Website
Romania,RO,ROU,19414458,13/09/2020,,465,Country_Website
Slovakia,SK,SVK,5450421,13/09/2020,130,,JRC
Slovenia,SI,SVN,2080908,13/09/2020,38,7,Country_Github
United Kingdom,UK,GBR,66647112,13/09/2020,798,,Country_Website
Austria,AT,AUT,8858775,12/09/2020,209,42,Country_Website
Belgium,BE,BEL,11455519,12/09/2020,260,68,Country_Website
Bulgaria,BG,BGR,7000039,12/09/2020,735,56,External_Github
Croatia,HR,HRV,4076246,12/09/2020,313,,Country_Website
Czechia,CZ,CZE,10649800,12/09/2020,305,70,Country_Website
Denmark,DK,DNK,5806081,12/09/2020,43,4,Country_Website
Estonia,EE,EST,1324820,12/09/2020,14,2,Country_API
France,FR,FRA,67012883,12/09/2020,5176,655,Country_Website
Hungary,HU,HUN,9772756,12/09/2020,282,15,JRC
Ireland,IE,IRL,4904240,12/09/2020,52,9,Country_Website
Italy,IT,ITA,60359546,12/09/2020,2133,182,Country_Github
Latvia,LV,LVA,1919968,12/09/2020,9,,Country_Website
Luxembourg,LU,LUX,613894,12/09/2020,18,0,Country_Website
Netherlands,NL,NLD,17282163,12/09/2020,,58,Other Website
Poland,PL,POL,37972812,12/09/2020,1946,,Country_Website
Portugal,PT,PRT,10276617,12/09/2020,438,59,Country_Website
Romania,RO,ROU,19414458,12/09/2020,,467,Country_Website
Slovakia,SK,SVK,5450421,12/09/2020,117,,JRC
Slovenia,SI,SVN,2080908,12/09/2020,31,6,Country_Github
United Kingdom,UK,GBR,66647112,12/09/2020,768,,Country_Website
Austria,AT,AUT,8858775,11/09/2020,204,41,Country_Website
Belgium,BE,BEL,11455519,11/09/2020,254,67,Country_Website
Bulgaria,BG,BGR,7000039,11/09/2020,746,55,External_Github
Croatia,HR,HRV,4076246,11/09/2020,327,,Country_Website
Czechia,CZ,CZE,10649800,11/09/2020,297,69,Country_Website
Denmark,DK,DNK,5806081,11/09/2020,44,7,Country_Website
Estonia,EE,EST,1324820,11/09/2020,14,2,Country_API
Finland,FI,FIN,5517919,11/09/2020,8,1,External_Github
France,FR,FRA,67012883,11/09/2020,5136,628,Country_Website
Hungary,HU,HUN,9772756,11/09/2020,259,12,JRC
Ireland,IE,IRL,4904240,11/09/2020,53,7,Country_Website
Italy,IT,ITA,60359546,11/09/2020,2024,175,Country_Github
Latvia,LV,LVA,1919968,11/09/2020,10,,Country_Website
Luxembourg,LU,LUX,613894,11/09/2020,17,0,Country_Website
Netherlands,NL,NLD,17282163,11/09/2020,,54,Other Website
Norway,NO,NOR,5328212,11/09/2020,16,,Country_API
Poland,PL,POL,37972812,11/09/2020,1957,,Country_Website
Portugal,PT,PRT,10276617,11/09/2020,404,54,Country_Website
Romania,RO,ROU,19414458,11/09/2020,,478,Country_Website
Slovakia,SK,SVK,5450421,11/09/2020,117,,JRC
Slovenia,SI,SVN,2080908,11/09/2020,27,6,Country_Github
United Kingdom,UK,GBR,66647112,11/09/2020,734,,Country_Website
Austria,AT,AUT,8858775,10/09/2020,205,39,Country_Website
Belgium,BE,BEL,11455519,10/09/2020,249,65,Country_Website
Bulgaria,BG,BGR,7000039,10/09/2020,753,60,External_Github
Croatia,HR,HRV,4076246,10/09/2020,320,,Country_Website
Czechia,CZ,CZE,10649800,10/09/2020,264,65,Country_Website
Denmark,DK,DNK,5806081,10/09/2020,35,5,Country_Website
Estonia,EE,EST,1324820,10/09/2020,13,2,Country_API
France,FR,FRA,67012883,10/09/2020,5077,608,Country_Website
Hungary,HU,HUN,9772756,10/09/2020,234,11,JRC
Ireland,IE,IRL,4904240,10/09/2020,49,7,Country_Website
Italy,IT,ITA,60359546,10/09/2020,2000,164,Country_Github
Latvia,LV,LVA,1919968,10/09/2020,9,,Country_Website
Luxembourg,LU,LUX,613894,10/09/2020,21,1,Country_Website
Netherlands,NL,NLD,17282163,10/09/2020,,49,Other Website
Norway,NO,NOR,5328212,10/09/2020,11,,Country_API
Poland,PL,POL,37972812,10/09/2020,1924,,Country_Website
Portugal,PT,PRT,10276617,10/09/2020,406,57,Country_Website
Romania,RO,ROU,19414458,10/09/2020,,459,Country_Website
Slovakia,SK,SVK,5450421,10/09/2020,115,,JRC
Slovenia,SI,SVN,2080908,10/09/2020,26,5,Country_Github
United Kingdom,UK,GBR,66647112,10/09/2020,914,,Country_Website
Austria,AT,AUT,8858775,09/09/2020,197,36,Country_Website
Belgium,BE,BEL,11455519,09/09/2020,250,60,Country_Website
Bulgaria,BG,BGR,7000039,09/09/2020,762,57,External_Github
Croatia,HR,HRV,4076246,09/09/2020,299,,Country_Website
Czechia,CZ,CZE,10649800,09/09/2020,249,64,Country_Website
Denmark,DK,DNK,5806081,09/09/2020,30,5,Country_Website
Estonia,EE,EST,1324820,09/09/2020,9,2,Country_API
Finland,FI,FIN,5517919,09/09/2020,6,1,External_Github
France,FR,FRA,67012883,09/09/2020,4985,593,Country_Website
Hungary,HU,HUN,9772756,09/09/2020,221,13,JRC
Ireland,IE,IRL,4904240,09/09/2020,50,6,Country_Website
Italy,IT,ITA,60359546,09/09/2020,1928,150,Country_Github
Latvia,LV,LVA,1919968,09/09/2020,9,,Country_Website
Luxembourg,LU,LUX,613894,09/09/2020,21,0,Country_Website
Netherlands,NL,NLD,17282163,09/09/2020,,46,Other Website
Norway,NO,NOR,5328212,09/09/2020,14,,Country_API
Poland,PL,POL,37972812,09/09/2020,2070,,Country_Website
Portugal,PT,PRT,10276617,09/09/2020,391,52,Country_Website
Romania,RO,ROU,19414458,09/09/2020,,459,Country_Website
Slovakia,SK,SVK,5450421,09/09/2020,131,,JRC
Slovenia,SI,SVN,2080908,09/09/2020,27,4,Country_Github
United Kingdom,UK,GBR,66647112,09/09/2020,894,,Country_Website
Austria,AT,AUT,8858775,08/09/2020,170,28,Country_Website
Belgium,BE,BEL,11455519,08/09/2020,260,59,Country_Website
Bulgaria,BG,BGR,7000039,08/09/2020,773,53,External_Github
Croatia,HR,HRV,4076246,08/09/2020,303,,Country_Website
Czechia,CZ,CZE,10649800,08/09/2020,244,57,Country_Website
Denmark,DK,DNK,5806081,08/09/2020,28,3,Country_Website
Estonia,EE,EST,1324820,08/09/2020,7,1,Country_API
France,FR,FRA,67012883,08/09/2020,4942,568,Country_Website
Hungary,HU,HUN,9772756,08/09/2020,192,12,JRC
Ireland,IE,IRL,4904240,08/09/2020,49,6,Country_Website
Italy,IT,ITA,60359546,08/09/2020,1903,143,Country_Github
Latvia,LV,LVA,1919968,08/09/2020,9,,Country_Website
Luxembourg,LU,LUX,613894,08/09/2020,23,0,Country_Website
Netherlands,NL,NLD,17282163,08/09/2020,,47,Other Website
Norway,NO,NOR,5328212,08/09/2020,11,,Country_API
Poland,PL,POL,37972812,08/09/2020,2042,,Country_Website
Portugal,PT,PRT,10276617,08/09/2020,394,50,Country_Website
Romania,RO,ROU,19414458,08/09/2020,,460,Country_Website
Slovakia,SK,SVK,5450421,08/09/2020,110,,JRC
Slovenia,SI,SVN,2080908,08/09/2020,28,4,Country_Github
United Kingdom,UK,GBR,66647112,08/09/2020,868,,Country_Website
Austria,AT,AUT,8858775,07/09/2020,163,29,Country_Website
Belgium,BE,BEL,11455519,07/09/2020,235,52,Country_Website
Bulgaria,BG,BGR,7000039,07/09/2020,766,54,External_Github
Croatia,HR,HRV,4076246,07/09/2020,307,,Country_Website
Czechia,CZ,CZE,10649800,07/09/2020,234,62,Country_Website
Denmark,DK,DNK,5806081,07/09/2020,29,3,Country_Website
Estonia,EE,EST,1324820,07/09/2020,7,0,Country_API
Finland,FI,FIN,5517919,07/09/2020,16,1,External_Github
France,FR,FRA,67012883,07/09/2020,4889,531,Country_Website
Hungary,HU,HUN,9772756,07/09/2020,164,11,JRC
Iceland,IS,ISL,356991,07/09/2020,1,0,Country_Website
Ireland,IE,IRL,4904240,07/09/2020,49,6,Country_Website
Italy,IT,ITA,60359546,07/09/2020,1861,142,Country_Github
Latvia,LV,LVA,1919968,07/09/2020,9,,Country_Website
Luxembourg,LU,LUX,613894,07/09/2020,20,0,Country_Website
Netherlands,NL,NLD,17282163,07/09/2020,,46,Other Website
Norway,NO,NOR,5328212,07/09/2020,15,,Country_API
Poland,PL,POL,37972812,07/09/2020,2113,,Country_Website
Portugal,PT,PRT,10276617,07/09/2020,381,49,Country_Website
Romania,RO,ROU,19414458,07/09/2020,,465,Country_Website
Slovakia,SK,SVK,5450421,07/09/2020,99,,JRC
Slovenia,SI,SVN,2080908,07/09/2020,26,4,Country_Github
United Kingdom,UK,GBR,66647112,07/09/2020,874,,Country_Website
Austria,AT,AUT,8858775,06/09/2020,143,28,Country_Website
Belgium,BE,BEL,11455519,06/09/2020,223,53,Country_Website
Bulgaria,BG,BGR,7000039,06/09/2020,755,57,External_Github
Croatia,HR,HRV,4076246,06/09/2020,296,,Country_Website
Czechia,CZ,CZE,10649800,06/09/2020,214,54,Country_Website
Denmark,DK,DNK,5806081,06/09/2020,27,4,Country_Website
Estonia,EE,EST,1324820,06/09/2020,7,0,Country_API
France,FR,FRA,67012883,06/09/2020,4697,480,Country_Website
Hungary,HU,HUN,9772756,06/09/2020,151,11,JRC
Iceland,IS,ISL,356991,06/09/2020,0,0,Country_Website
Ireland,IE,IRL,4904240,06/09/2020,49,6,Country_Website
Italy,IT,ITA,60359546,06/09/2020,1816,133,Country_Github
Latvia,LV,LVA,1919968,06/09/2020,7,,Country_Website
Luxembourg,LU,LUX,613894,06/09/2020,15,0,Country_Website
Netherlands,NL,NLD,17282163,06/09/2020,,45,Other Website
Poland,PL,POL,37972812,06/09/2020,2091,,Country_Website
Portugal,PT,PRT,10276617,06/09/2020,354,43,Country_Website
Romania,RO,ROU,19414458,06/09/2020,,474,Country_Website
Slovakia,SK,SVK,5450421,06/09/2020,99,,JRC
Slovenia,SI,SVN,2080908,06/09/2020,23,3,Country_Github
United Kingdom,UK,GBR,66647112,06/09/2020,789,,Country_Website
Austria,AT,AUT,8858775,05/09/2020,157,28,Country_Website
Belgium,BE,BEL,11455519,05/09/2020,215,53,Country_Website
Bulgaria,BG,BGR,7000039,05/09/2020,763,56,External_Github
Croatia,HR,HRV,4076246,05/09/2020,285,,Country_Website
Czechia,CZ,CZE,10649800,05/09/2020,204,52,Country_Website
Denmark,DK,DNK,5806081,05/09/2020,16,3,Country_Website
Estonia,EE,EST,1324820,05/09/2020,7,0,Country_API
France,FR,FRA,67012883,05/09/2020,4667,476,Country_Website
Hungary,HU,HUN,9772756,05/09/2020,139,9,JRC
Iceland,IS,ISL,356991,05/09/2020,0,0,Country_Website
Ireland,IE,IRL,4904240,05/09/2020,48,7,Country_Website
Italy,IT,ITA,60359546,05/09/2020,1741,121,Country_Github
Latvia,LV,LVA,1919968,05/09/2020,7,,Country_Website
Luxembourg,LU,LUX,613894,05/09/2020,10,0,Country_Website
Netherlands,NL,NLD,17282163,05/09/2020,,41,Other Website
Poland,PL,POL,37972812,05/09/2020,2090,,Country_Website
Portugal,PT,PRT,10276617,05/09/2020,345,41,Country_Website
Romania,RO,ROU,19414458,05/09/2020,,476,Country_Website
Slovakia,SK,SVK,5450421,05/09/2020,95,,JRC
Slovenia,SI,SVN,2080908,05/09/2020,22,3,Country_Github
United Kingdom,UK,GBR,66647112,05/09/2020,783,,Country_Website
Austria,AT,AUT,8858775,04/09/2020,156,28,Country_Website
Belgium,BE,BEL,11455519,04/09/2020,215,52,Country_Website
Bulgaria,BG,BGR,7000039,04/09/2020,764,61,External_Github
Croatia,HR,HRV,4076246,04/09/2020,283,,Country_Website
Czechia,CZ,CZE,10649800,04/09/2020,197,50,Country_Website
Denmark,DK,DNK,5806081,04/09/2020,18,3,Country_Website
Estonia,EE,EST,1324820,04/09/2020,7,0,Country_API
Finland,FI,FIN,5517919,04/09/2020,14,1,External_Github
France,FR,FRA,67012883,04/09/2020,4653,467,Country_Website
Hungary,HU,HUN,9772756,04/09/2020,120,8,JRC
Iceland,IS,ISL,356991,04/09/2020,0,0,Country_Website
Ireland,IE,IRL,4904240,04/09/2020,44,7,Country_Website
Italy,IT,ITA,60359546,04/09/2020,1728,121,Country_Github
Latvia,LV,LVA,1919968,04/09/2020,6,,Country_Website
Luxembourg,LU,LUX,613894,04/09/2020,10,0,Country_Website
Netherlands,NL,NLD,17282163,04/09/2020,,45,Other Website
Norway,NO,NOR,5328212,04/09/2020,16,,Country_API
Poland,PL,POL,37972812,04/09/2020,2179,,Country_Website
Portugal,PT,PRT,10276617,04/09/2020,339,40,Country_Website
Romania,RO,ROU,19414458,04/09/2020,,485,Country_Website
Slovakia,SK,SVK,5450421,04/09/2020,92,,JRC
Slovenia,SI,SVN,2080908,04/09/2020,24,3,Country_Github
United Kingdom,UK,GBR,66647112,04/09/2020,788,,Country_Website
Austria,AT,AUT,8858775,03/09/2020,161,29,Country_Website
Belgium,BE,BEL,11455519,03/09/2020,209,58,Country_Website
Bulgaria,BG,BGR,7000039,03/09/2020,758,63,External_Github
Croatia,HR,HRV,4076246,03/09/2020,269,,Country_Website
Czechia,CZ,CZE,10649800,03/09/2020,190,44,Country_Website
Denmark,DK,DNK,5806081,03/09/2020,17,3,Country_Website
Estonia,EE,EST,1324820,03/09/2020,9,0,Country_API
France,FR,FRA,67012883,03/09/2020,4625,458,Country_Website
Hungary,HU,HUN,9772756,03/09/2020,100,7,JRC
Iceland,IS,ISL,356991,03/09/2020,0,0,Country_Website
Ireland,IE,IRL,4904240,03/09/2020,40,7,Country_Website
Italy,IT,ITA,60359546,03/09/2020,1625,120,Country_Github
Latvia,LV,LVA,1919968,03/09/2020,7,,Country_Website
Luxembourg,LU,LUX,613894,03/09/2020,11,0,Country_Website
Netherlands,NL,NLD,17282163,03/09/2020,,41,Other Website
Norway,NO,NOR,5328212,03/09/2020,13,,Country_API
Poland,PL,POL,37972812,03/09/2020,2170,,Country_Website
Portugal,PT,PRT,10276617,03/09/2020,334,44,Country_Website
Romania,RO,ROU,19414458,03/09/2020,,503,Country_Website
Slovakia,SK,SVK,5450421,03/09/2020,105,,JRC
Slovenia,SI,SVN,2080908,03/09/2020,26,4,Country_Github
United Kingdom,UK,GBR,66647112,03/09/2020,781,,Country_Website
Austria,AT,AUT,8858775,02/09/2020,157,30,Country_Website
Belgium,BE,BEL,11455519,02/09/2020,221,60,Country_Website
Bulgaria,BG,BGR,7000039,02/09/2020,737,62,External_Github
Croatia,HR,HRV,4076246,02/09/2020,258,,Country_Website
Czechia,CZ,CZE,10649800,02/09/2020,177,40,Country_Website
Denmark,DK,DNK,5806081,02/09/2020,15,4,Country_Website
Estonia,EE,EST,1324820,02/09/2020,10,0,Country_API
Finland,FI,FIN,5517919,02/09/2020,9,2,External_Github
France,FR,FRA,67012883,02/09/2020,4614,440,Country_Website
Hungary,HU,HUN,9772756,02/09/2020,98,7,JRC
Iceland,IS,ISL,356991,02/09/2020,0,0,Country_Website
Ireland,IE,IRL,4904240,02/09/2020,40,6,Country_Website
Italy,IT,ITA,60359546,02/09/2020,1546,109,Country_Github
Latvia,LV,LVA,1919968,02/09/2020,5,,Country_Website
Luxembourg,LU,LUX,613894,02/09/2020,16,2,Country_Website
Netherlands,NL,NLD,17282163,02/09/2020,,39,Other Website
Norway,NO,NOR,5328212,02/09/2020,11,,Country_API
Poland,PL,POL,37972812,02/09/2020,2168,,Country_Website
Portugal,PT,PRT,10276617,02/09/2020,337,41,Country_Website
Romania,RO,ROU,19414458,02/09/2020,,519,Country_Website
Slovakia,SK,SVK,5450421,02/09/2020,99,,JRC
Slovenia,SI,SVN,2080908,02/09/2020,26,4,Country_Github
United Kingdom,UK,GBR,66647112,02/09/2020,768,,Country_Website
Austria,AT,AUT,8858775,01/09/2020,149,30,Country_Website
Belgium,BE,BEL,11455519,01/09/2020,226,68,Country_Website
Bulgaria,BG,BGR,7000039,01/09/2020,727,65,External_Github
Croatia,HR,HRV,4076246,01/09/2020,258,,Country_Website
Czechia,CZ,CZE,10649800,01/09/2020,172,40,Country_Website
Denmark,DK,DNK,5806081,01/09/2020,20,4,Country_Website
Estonia,EE,EST,1324820,01/09/2020,8,0,Country_API
France,FR,FRA,67012883,01/09/2020,4586,418,Country_Website
Hungary,HU,HUN,9772756,01/09/2020,96,7,JRC
Iceland,IS,ISL,356991,01/09/2020,0,0,Country_Website
Ireland,IE,IRL,4904240,01/09/2020,36,6,Country_Website
Italy,IT,ITA,60359546,01/09/2020,1487,107,Country_Github
Latvia,LV,LVA,1919968,01/09/2020,5,,Country_Website
Luxembourg,LU,LUX,613894,01/09/2020,16,1,Country_Website
Netherlands,NL,NLD,17282163,01/09/2020,,41,Other Website
Norway,NO,NOR,5328212,01/09/2020,11,,Country_API
Poland,PL,POL,37972812,01/09/2020,2138,,Country_Website
Portugal,PT,PRT,10276617,01/09/2020,350,44,Country_Website
Romania,RO,ROU,19414458,01/09/2020,,522,Country_Website
Slovakia,SK,SVK,5450421,01/09/2020,77,,JRC
Slovenia,SI,SVN,2080908,01/09/2020,25,3,Country_Github
United Kingdom,UK,GBR,66647112,01/09/2020,828,,Country_Website
Austria,AT,AUT,8858775,31/08/2020,154,31,Country_Website
Belgium,BE,BEL,11455519,31/08/2020,243,74,Country_Website
Bulgaria,BG,BGR,7000039,31/08/2020,726,63,External_Github
Croatia,HR,HRV,4076246,31/08/2020,251,,Country_Website
Czechia,CZ,CZE,10649800,31/08/2020,172,35,Country_Website
Denmark,DK,DNK,5806081,31/08/2020,23,4,Country_Website
Estonia,EE,EST,1324820,31/08/2020,9,0,Country_API
Finland,FI,FIN,5517919,31/08/2020,10,1,External_Github
France,FR,FRA,67012883,31/08/2020,4564,403,Country_Website
Hungary,HU,HUN,9772756,31/08/2020,103,7,JRC
Iceland,IS,ISL,356991,31/08/2020,0,0,Country_Website
Ireland,IE,IRL,4904240,31/08/2020,35,6,Country_Website
Italy,IT,ITA,60359546,31/08/2020,1382,94,Country_Github
Latvia,LV,LVA,1919968,31/08/2020,5,,Country_Website
Luxembourg,LU,LUX,613894,31/08/2020,28,2,Country_Website
Netherlands,NL,NLD,17282163,31/08/2020,,45,Other Website
Norway,NO,NOR,5328212,31/08/2020,12,,Country_API
Poland,PL,POL,37972812,31/08/2020,2249,,Country_Website
Portugal,PT,PRT,10276617,31/08/2020,349,41,Country_Website
Romania,RO,ROU,19414458,31/08/2020,,506,Country_Website
Slovakia,SK,SVK,5450421,31/08/2020,77,,JRC
Slovenia,SI,SVN,2080908,31/08/2020,25,3,Country_Github
United Kingdom,UK,GBR,66647112,31/08/2020,821,,Country_Website
Austria,AT,AUT,8858775,30/08/2020,140,30,Country_Website
Belgium,BE,BEL,11455519,30/08/2020,233,71,Country_Website
Bulgaria,BG,BGR,7000039,30/08/2020,723,61,External_Github
Croatia,HR,HRV,4076246,30/08/2020,229,,Country_Website
Czechia,CZ,CZE,10649800,30/08/2020,153,35,Country_Website
Denmark,DK,DNK,5806081,30/08/2020,21,4,Country_Website
Estonia,EE,EST,1324820,30/08/2020,9,0,Country_API
France,FR,FRA,67012883,30/08/2020,4517,396,Country_Website
Hungary,HU,HUN,9772756,30/08/2020,90,7,JRC
Iceland,IS,ISL,356991,30/08/2020,0,0,Country_Website
Ireland,IE,IRL,4904240,30/08/2020,33,5,Country_Website
Italy,IT,ITA,60359546,30/08/2020,1337,86,Country_Github
Latvia,LV,LVA,1919968,30/08/2020,4,,Country_Website
Luxembourg,LU,LUX,613894,30/08/2020,27,2,Country_Website
Netherlands,NL,NLD,17282163,30/08/2020,,46,Other Website
Poland,PL,POL,37972812,30/08/2020,2242,,Country_Website
Portugal,PT,PRT,10276617,30/08/2020,341,41,Country_Website
Romania,RO,ROU,19414458,30/08/2020,,492,Country_Website
Slovakia,SK,SVK,5450421,30/08/2020,76,,JRC
Slovenia,SI,SVN,2080908,30/08/2020,24,3,Country_Github
United Kingdom,UK,GBR,66647112,30/08/2020,798,,Country_Website
Austria,AT,AUT,8858775,29/08/2020,144,30,Country_Website
Belgium,BE,BEL,11455519,29/08/2020,230,72,Country_Website
Bulgaria,BG,BGR,7000039,29/08/2020,712,59,External_Github
Croatia,HR,HRV,4076246,29/08/2020,211,,Country_Website
Czechia,CZ,CZE,10649800,29/08/2020,156,37,Country_Website
Denmark,DK,DNK,5806081,29/08/2020,21,4,Country_Website
Estonia,EE,EST,1324820,29/08/2020,9,0,Country_API
France,FR,FRA,67012883,29/08/2020,4512,394,Country_Website
Hungary,HU,HUN,9772756,29/08/2020,90,7,JRC
Iceland,IS,ISL,356991,29/08/2020,0,0,Country_Website
Ireland,IE,IRL,4904240,29/08/2020,30,5,Country_Website
Italy,IT,ITA,60359546,29/08/2020,1247,79,Country_Github
Latvia,LV,LVA,1919968,29/08/2020,4,,Country_Website
Luxembourg,LU,LUX,613894,29/08/2020,23,3,Country_Website
Netherlands,NL,NLD,17282163,29/08/2020,,41,Other Website
Poland,PL,POL,37972812,29/08/2020,2237,,Country_Website
Portugal,PT,PRT,10276617,29/08/2020,324,40,Country_Website
Romania,RO,ROU,19414458,29/08/2020,,490,Country_Website
Slovakia,SK,SVK,5450421,29/08/2020,76,,JRC
Slovenia,SI,SVN,2080908,29/08/2020,23,2,Country_Github
United Kingdom,UK,GBR,66647112,29/08/2020,796,,Country_Website
Austria,AT,AUT,8858775,28/08/2020,146,27,Country_Website
Belgium,BE,BEL,11455519,28/08/2020,252,77,Country_Website
Bulgaria,BG,BGR,7000039,28/08/2020,726,65,External_Github
Croatia,HR,HRV,4076246,28/08/2020,212,,Country_Website
Czechia,CZ,CZE,10649800,28/08/2020,158,37,Country_Website
Denmark,DK,DNK,5806081,28/08/2020,21,2,Country_Website
Estonia,EE,EST,1324820,28/08/2020,9,0,Country_API
Finland,FI,FIN,5517919,28/08/2020,11,1,External_Github
France,FR,FRA,67012883,28/08/2020,4517,381,Country_Website
Iceland,IS,ISL,356991,28/08/2020,0,0,Country_Website
Ireland,IE,IRL,4904240,28/08/2020,32,5,Country_Website
Italy,IT,ITA,60359546,28/08/2020,1252,74,Country_Github
Latvia,LV,LVA,1919968,28/08/2020,4,,Country_Website
Luxembourg,LU,LUX,613894,28/08/2020,25,4,Country_Website
Netherlands,NL,NLD,17282163,28/08/2020,,41,Other Website
Norway,NO,NOR,5328212,28/08/2020,16,,Country_API
Poland,PL,POL,37972812,28/08/2020,2221,,Country_Website
Portugal,PT,PRT,10276617,28/08/2020,334,38,Country_Website
Romania,RO,ROU,19414458,28/08/2020,,497,Country_Website
Slovenia,SI,SVN,2080908,28/08/2020,22,1,Country_Github
United Kingdom,UK,GBR,66647112,28/08/2020,769,,Country_Website
Austria,AT,AUT,8858775,27/08/2020,145,24,Country_Website
Belgium,BE,BEL,11455519,27/08/2020,257,82,Country_Website
Bulgaria,BG,BGR,7000039,27/08/2020,741,60,External_Github
Croatia,HR,HRV,4076246,27/08/2020,194,,Country_Website
Czechia,CZ,CZE,10649800,27/08/2020,147,34,Country_Website
Denmark,DK,DNK,5806081,27/08/2020,19,2,Country_Website
Estonia,EE,EST,1324820,27/08/2020,12,0,Country_API
France,FR,FRA,67012883,27/08/2020,4517,375,Country_Website
Hungary,HU,HUN,9772756,27/08/2020,78,7,JRC
Iceland,IS,ISL,356991,27/08/2020,0,0,Country_Website
Ireland,IE,IRL,4904240,27/08/2020,29,5,Country_Website
Italy,IT,ITA,60359546,27/08/2020,1198,67,Country_Github
Latvia,LV,LVA,1919968,27/08/2020,5,,Country_Website
Luxembourg,LU,LUX,613894,27/08/2020,30,2,Country_Website
Netherlands,NL,NLD,17282163,27/08/2020,,43,Other Website
Norway,NO,NOR,5328212,27/08/2020,17,,Country_API
Poland,PL,POL,37972812,27/08/2020,2185,,Country_Website
Portugal,PT,PRT,10276617,27/08/2020,317,35,Country_Website
Romania,RO,ROU,19414458,27/08/2020,,492,Country_Website
Slovakia,SK,SVK,5450421,27/08/2020,72,,JRC
Slovenia,SI,SVN,2080908,27/08/2020,23,1,Country_Github
United Kingdom,UK,GBR,66647112,27/08/2020,787,,Country_Website
Austria,AT,AUT,8858775,26/08/2020,141,23,Country_Website
Belgium,BE,BEL,11455519,26/08/2020,260,81,Country_Website
Bulgaria,BG,BGR,7000039,26/08/2020,715,64,External_Github
Croatia,HR,HRV,4076246,26/08/2020,174,,Country_Website
Czechia,CZ,CZE,10649800,26/08/2020,134,34,Country_Website
Denmark,DK,DNK,5806081,26/08/2020,19,3,Country_Website
Estonia,EE,EST,1324820,26/08/2020,10,0,Country_API
Finland,FI,FIN,5517919,26/08/2020,5,1,External_Github
